id,Website,Article_URL,Headline,Claim_Date,Review_Date,Query/Keyword,Label_Website,Image_URL,Original_Claim_Website,Original_Claim_Only,Context/Label_Explanation,Text_Only_Claim,Normal_Image,AI_Generated_Image,Altered_Image
20,Reuters,https://www.reuters.com/fact-check/no-evidence-nato-chief-said-hell-expel-us-if-trump-surrenders-ukraine-2024-11-25/,"Fact Check: No evidence NATO chief said he’ll expel US if Trump ‘surrenders Ukraine’
",2024-11-05,2024-11-26,"""Ukraine Fact Check""",NO EVIDENCE,,"Posts on Facebook shared after Trump won the Nov. 5 U.S. presidential election said: “BREAKING: NATO Secretary General Mark Rutte says that ‘If Trump surrenders Ukraine to Putin, he will personally expel the United States from the alliance’” alongside comments asking if that “would be a bad thing”."," “BREAKING: NATO Secretary General Mark Rutte says that ‘If Trump surrenders Ukraine to Putin, he will personally expel the United States from the alliance’” alongside comments asking if that “would be a bad thing”.",No evidence. There are no credible reports or references on NATO’s social media account or website that Rutte made the comment. A NATO official denied that Rutte made such a remark.,Yes,No,No,No
21,Reuters,https://www.reuters.com/fact-check/fabricated-quote-by-sheinbaum-calling-zelenskiy-drug-addict-2024-09-30/,"Fact Check: Fabricated quote by Sheinbaum calling Zelenskiy a ‘drug addict’ 
",2024-09-18,2024-09-30,"""Ukraine Fact Check""",FALSE,,"Posts on social media falsely cite Sheinbaum as rejecting the invitation by saying, about Zelenskiy, “If I wanted to see a drug addict, I'd just take a walk around Tijuana.”"," “If I wanted to see a drug addict, I'd just take a walk around Tijuana.”","Mexican President-elect Claudia Sheinbaum said on Sept. 17 that she did not immediately plan to visit Ukraine, citing her prioritization of domestic issues and Mexico’s principle of non-interference in foreign affairs. She did not call Ukrainian President Volodymyr Zelenskiy a drug addict, contrary to a fabricated quote shared online.",Yes,No,No,No
22,Reuters,https://www.reuters.com/fact-check/orange-smoke-cloud-photo-predates-kursk-assault-by-nearly-decade-2024-08-16/,Fact Check: Orange smoke cloud photo predates Kursk assault by nearly a decade,2024-08-11,2024-08-16,"""Ukraine Fact Check""",MISCAPTIONED,https://web.archive.org/web/20250708172556/https://pbs.twimg.com/media/GUqcvO4XAAAP3dz?format=jpg&name=large,"The caption of one of the social media posts sharing the image says, in part: “First picture of a CHEMICAL attack by Ukrainian artillery in KURSK !!!!!!! The Armed Forces of Ukraine used chemical weapons in the Kursk region. According to the Aida group, the enemy used ammunition filled with chlorine.”","“First picture of a CHEMICAL attack by Ukrainian artillery in KURSK !!!!!!! The Armed Forces of Ukraine used chemical weapons in the Kursk region. According to the Aida group, the enemy used ammunition filled with chlorine.”","The same scene can be seen at timestamp 00:09 of a March 2015 BBC News video titled “Islamic State's toxic ‘chlorine gas’ bombs.”
The clip, provided by Iraqi officials, shows orange smoke rising from a controlled explosion and Iraqi officials said there was evidence that Islamic State militants were using chlorine gas in roadside bombing in Iraq, the BBC reported. A photo taken by Reuters in March 2015 in a town north of the Iraqi capital Baghdad shows a chlorine-tinged cloud of smoke rising from a bomb detonated by Iraqi troops and Shi’ite forces.",No,Yes,No,No
23,Snopes,https://www.snopes.com/fact-check/trump-military-aid-ukraine/,"Trump falsely claimed US spent $350B on military aid to Ukraine
",2025-02-19,2025-03-13,"""Ukraine""",FALSE,,"As of February 2025, the United States had given $350 billion in military aid to Ukraine for its war with Russia.","As of February 2025, the United States had given $350 billion in military aid to Ukraine for its war with Russia.","It's possible to arrive at varying totals depending on how military aid is defined or by considering how much money was allocated — as opposed to actually paid out — by the U.S. government, but none of these totals amounts to $350 billion.
Trump's claim is incorrect. While it is possible to arrive at varying totals using different ways to categorize or count the financial figures, none amounts to $350 billion. As of this writing, the United States had allocated nearly $183 billion for the response to Russia's 2022 invasion of Ukraine, according to the U.S. government's inspector general overseeing the situation. That amount includes more than just what the U.S. government directly sent to Ukraine — and only $83 billion had actually been paid out as of December 2024. Thus, we rate this claim false. ",Yes,No,No,No
24,Snopes,https://www.snopes.com/fact-check/warren-buffett-500-million-ukraine/,Warren Buffett did not send more than $500M to Ukraine — but his son did,2025-03-04,2025-03-12,"""Ukraine""",FALSE,,Warren Buffett has given more than $500 million to Ukraine.,Warren Buffett has given more than $500 million to Ukraine.,"Howard Buffett, Warren Buffett's son, donated more than $800 million to Ukraine since 2022, through his own foundation.",Yes,No,No,No
25,Snopes,https://www.snopes.com/fact-check/jd-vance-cousin-nate-fought-in-ukraine-3-years/,"Yes, Vice President JD Vance's cousin Nate fought in Ukraine for three years
",2025-03-11,2025-03-12,"""Ukraine""",TRUE,,U.S. Vice President JD Vance's cousin Nate Vance fought in Ukraine for three years during its war with Russia.,U.S. Vice President JD Vance's cousin Nate Vance fought in Ukraine for three years during its war with Russia.,"Snopes readers searched our site and submitted emails asking if the claim was true. While we could not independently confirm that the claim was true, several reputable news organizations from various countries, including CNN and French newspaper Le Figaro (archived), all reported that Vance volunteered to fight in Ukraine and served alongside Ukrainian forces for three years, and provided sufficient photographic evidence.",Yes,No,No,No
26,Snopes,https://www.snopes.com/fact-check/zelenskyy-us-ukraine-war-quote/,Zelenskyy saying US will have to send 'sons and daughters to war' in Ukraine is from old video,2025-03-03,2025-03-05,"""Ukraine""",MISCAPTIONED,,"Ukrainian President Volodymyr Zelenskyy said the U.S. will have ""to send their sons and daughters"" to die for Ukraine after having a heated exchange with U.S. President Donald Trump at the White House in February 2025.","Ukrainian President Volodymyr Zelenskyy said the U.S. will have ""to send their sons and daughters"" to die for Ukraine after having a heated exchange with U.S. President Donald Trump at the White House in February 2025.","Zelenskyy did say, ""The U.S. will have to send their sons and daughters exactly the same way as we are sending [our] sons and daughters to war."" However, he was talking about a hypothetical situation in which Ukraine losing the war against Russia would lead to a broader conflict resulting in Americans being pulled into fighting. He made this statement in February 2023, two years before the exchange with Trump took place.",Yes,No,No,No
27,Snopes,https://www.snopes.com/fact-check/zelenskyy-houses-planes-offshores-accounts/,"The facts behind resurfaced claim that Zelenskyy has multiple homes, planes, offshore accounts",2025-02-28,2025-03-05,"""Ukraine""",FALSE,,"Ukrainian President Volodymyr Zelenskyy owns 15 homes including a $35 million home in Florida, has $1.2 billion in an overseas bank account, owns 15 homes, three private planes and has a monthly income of $11 million.","Ukrainian President Volodymyr Zelenskyy owns 15 homes including a $35 million home in Florida, has $1.2 billion in an overseas bank account, owns 15 homes, three private planes and has a monthly income of $11 million.","The Ukrainian president submitted a 2024 asset declaration to the National Agency on Corruption Prevention covering 2023 that detailed his owned properties, income, bank accounts and vehicles. The NACP is a Ukrainian government unit that takes asset declarations from all politicians who receive a salary from the state. 
According to the declaration, Zelenskyy owned fewer than 15 properties, none of them in the U.S., owned no planes and had an annual income of around $300,000, equivalent to about $25,000 per month. Records searches in Florida's 67 counties revealed no properties in Zelenskyy's name.
The declaration listed just one overseas bank account holding 350,272 euros (around $377,000). Given the above, we rate this claim false.",Yes,No,No,No
28,Snopes,https://www.snopes.com/fact-check/trump-lech-walesa-ukraine/,"Yes, former Polish president Lech Wałęsa wrote letter to Trump about pausing military aid to Ukraine
",2025-03-03,2025-03-14,"""Ukraine""",TRUE,,Former President of Poland Lech Wałęsa wrote a letter to Donald Trump criticizing the U.S. President's decision to suspend the delivery of all U.S. military aid to Ukraine.,Former President of Poland Lech Wałęsa wrote a letter to Donald Trump criticizing the U.S. President's decision to suspend the delivery of all U.S. military aid to Ukraine.,"Wałęsa did post such a letter on his Facebook page. However, it is not clear whether he wrote the letter alone or in conjunction with any of its signatories. It is also not clear whether he sent the letter directly to Trump or just posted it on social media.",Yes,No,No,No
29,Snopes,https://www.snopes.com/fact-check/trump-zelenskyy-meeting-with-democrats/,"Zelenskyy met with Democrats — and Republicans — before his meeting with Trump
",2025-03-02,2025-03-04,"""Ukraine""",MIXTURE,,"On Feb. 28, 2025, before a meeting with U.S. President Donald Trump, Ukraine President Volodymyr Zelenskyy met with Democrats who convinced him to reject a deal that would allow the U.S. to exploit minerals in Ukraine in exchange for U.S. support in Ukraine's war with Russia.","On Feb. 28, 2025, before a meeting with U.S. President Donald Trump, Ukraine President Volodymyr Zelenskyy met with Democrats who convinced him to reject a deal that would allow the U.S. to exploit minerals in Ukraine in exchange for U.S. support in Ukraine's war with Russia.","What's True
Zelenskyy did meet with Democratic U.S. senators ...
What's False
... but that meeting also included at least three Republican senators. Sen. Chris Murphy, a Democrat from Connecticut, emphatically rejected claims that the Democrats of the U.S. Senate delegation had dissuaded Zelenskyy from taking the minerals deal. Further, Zelenskyy confirmed to reporters two days after the meeting that his country was ready to accept the deal.",Yes,No,No,No
30,Snopes,https://www.snopes.com/fact-check/minerals-deal-ukraine-russia-peace/,"There's no Ukraine-Russia peace deal — but a US-Ukraine minerals deal could be a stepping stone
",2025-02-25,2025-02-26,"""Ukraine""",FALSE,,"In early 2025, Ukraine and Russia had reached a peace deal in their years-long war.","In early 2025, Ukraine and Russia had reached a peace deal in their years-long war.","Claims of a peace deal between Ukraine and Russia actually repeat key parts of a proposed U.S.-Ukraine agreement for sharing revenue from Ukraine's natural assets, including minerals. This agreement is not a peace deal but would bring Americans to Ukraine and give the U.S. a vested interest in peace in the country.",Yes,No,No,No
31,Snopes,https://www.snopes.com/fact-check/ukraine-bans-orthodox-church/,"Ukraine Banned Orthodox Church in August 2024?
",2024-08-20,2024-08-21,"""Ukraine""",MIXTURE,,"In August 2024, Ukraine passed legislation banning the Orthodox Church in Ukraine.","In August 2024, Ukraine passed legislation banning the Orthodox Church in Ukraine.","What's True
On Aug. 20, 2024, the Ukrainian Parliament passed (though Ukrainian President Volodymyr Zelenskyy has not yet signed, as of this writing) legislation that would allow the government to ban the Russian-linked Ukrainian Orthodox Church. However …
What's False
… the law does not pertain to the Orthodox Church of Ukraine, the church to which the majority of Ukrainian Christians belong. Claims that Ukraine banned the Orthodox Church entirely or that it outlawed Christianity are false.",Yes,No,No,No
32,Snopes,https://www.snopes.com/fact-check/harris-ukraine-russia/,"Harris Once Said, 'Ukraine Is a Country in Europe. It Exists Next to Another Country Called Russia'?
",2024-07-22,2024-07-22,"""Ukraine""",Correct Attribution,,"U.S. Vice President Kamala Harris once said, ""Ukraine is a country in Europe. It exists next to another country called Russia. Russia is a bigger country. Russia is a powerful country. Russia decided to invade a smaller country called Ukraine. So basically that's wrong.""","U.S. Vice President Kamala Harris once said, ""Ukraine is a country in Europe. It exists next to another country called Russia. Russia is a bigger country. Russia is a powerful country. Russia decided to invade a smaller country called Ukraine. So basically that's wrong.""","Harris made the statement in March 2022, responding to a journalist's request to explain the situation in Ukraine in layman's terms. She continued, ""And it goes against everything that we stand for. There are terms that we use, we say, 'We respect the sovereignty, the territorial integrity of countries,' right? Their independence. Russia has gone into Ukraine militarily, unprovoked, with no justification other than to exercise its power to take over another country.""",Yes,No,No,No
33,Snopes,https://www.snopes.com/fact-check/fox-kyiv-russia-easter/,A Fox livestream news report labeled Kyiv a Russian city. Here's what we know,2025-04-20,2025-04-21,"""Russia""",Mostly True,https://web.archive.org/web/20250708172739/https://pbs.twimg.com/media/Go9OYfuX0AAFpPM?format=jpg&name=medium,"A Fox News broadcast labeled Kyiv (the capital of Ukraine) a Russian city on Easter 2025. (Snopes)

One X user posted a screenshot showing the alleged mislabeling, captioned: ""Meanwhile, Fox News claims that Kyiv is Russia and broadcasts 'Patriarch Kirill'.” (X Post)","""Meanwhile, Fox News claims that Kyiv is Russia and broadcasts 'Patriarch Kirill'.”","What's True
The mistake appeared on LiveNOW from Fox, a news service delivered by Fox Television Stations.

What's False
However, while LiveNOW from Fox and Fox News are both part of the Fox Corporation, they are not interchangeable nor run by the same business within the corporation.",No,Yes,No,No
34,Snopes,https://www.snopes.com/fact-check/joe-rogan-russia-canada/,"Joe Rogan said he'd rather visit Russia than Canada. He also said 'Canadian people are awesome'
",2025-03-24,2025-03-25,"""Russia""",Correct Attribution,,"Podcaster and UFC commentator Joe Rogan said, ""I don't go to Canada anymore,"" then added, ""I'd rather go to Russia.""","Podcaster and UFC commentator Joe Rogan said, ""I don't go to Canada anymore,"" then added, ""I'd rather go to Russia.""","Rogan laughed after making the remark but provided no direct indication that he was joking. The comment occurred during a podcast episode of ""The Joe Rogan Experience"" on March 22. Earlier in the same episode, he said of Canada, ""They have a terrible government but Canadian people are awesome.""",Yes,No,No,No
35,Snopes,https://www.snopes.com/fact-check/putin-wants-fauci-extradited-to-russia/,"No Evidence Vladimir Putin Wants Fauci Extradited To Russia
",2025-01-22,2025-01-23,"""Russia""",FALSE,,"In January 2025, Russian President Vladimir Putin was seeking to have Dr. Anthony Fauci in the U.S. extradited to Russia in exchange for ending the war in Ukraine.","In January 2025, Russian President Vladimir Putin was seeking to have Dr. Anthony Fauci in the U.S. extradited to Russia in exchange for ending the war in Ukraine.","The claim was false, however. If Putin had made such a request, reliable news sources in either Russia or the United States would have reported on it. That had not happened. If Russia wanted to extradite Fauci, it would likely have to file a Red Flag Notice with Interpol. That, too, had not happened.
Even if the claim came from a reliable source of information, there's a major hurdle standing in the way: The United States and Russia do not have an extradition treaty with each other. According to the U.S. Department of Justice, the U.S. does not generally extradite without a treaty. ",Yes,No,No,No
36,Snopes,https://www.snopes.com/fact-check/russian-tv-melania-trump/,Russian State TV Aired Nude Photos of Melania Trump?,2024-11-10,2024-11-12,"""Russia""",TRUE,,Russian state TV aired nude photos of Melania Trump shortly after the 2024 U.S. presidential election.,Russian state TV aired nude photos of Melania Trump shortly after the 2024 U.S. presidential election.,"The photos of Melania Trump used in the broadcast were not new or leaked images but widely known and previously published photos from her modeling career. Melania Trump addressed the photos in September 2024, saying: ""Why do I stand proudly behind my nude modeling work? The more pressing question is, why has the media chosen to scrutinize my celebration of the human form in a fashion photo shoot? Are we no longer able to appreciate the beauty of the human body?""",Yes,No,No,No
37,Snopes,https://www.snopes.com/fact-check/biden-board-empty-plane/,"No, Biden Did Not Board 'Empty Plane' After Prisoner Exchange with Russia",2024-08-02,2024-08-02,"""Russia""",FALSE,,U.S. President Joe Biden boarded an empty plane after three freed Americans arrived back in the U.S. and exited the aircraft.,U.S. President Joe Biden boarded an empty plane after three freed Americans arrived back in the U.S. and exited the aircraft.,"In sum, Biden did not board an ""empty plane."" Video evidence and information from eyewitnesses show Biden walked onto the plane to visit at least one pilot and possibly other people who were still onboard.",Yes,No,No,No
38,Politifact,https://www.politifact.com/factchecks/2025/mar/20/facebook-posts/was-zelenskyys-pennsylvania-visit-election-interfe/,Ukraine President Volodymyr Zelenskyy “engaged in election interference by campaigning” in Pennsylvania for former Democratic presidential nominee Kamala Harris.,2025-03-01,2025-03-20,"""Ukraine""",FALSE,,"""Zelenskyy is an ungrateful foreigner who engaged in election interference by campaigning for Kamala (Harris) in (Pennsylvania),"" said text on the March 1 Facebook Reel posted by Scotty Moore, a Republican who lost a 2023 Florida House race and a 2022 congressional race.","Zelenskyy ""engaged in election interference by campaigning"" in Pennsylvania for Harris.","A Facebook post said Zelenskyy ""engaged in election interference by campaigning"" in Pennsylvania for Harris.
In September 2024, Zelenskyy visited a Scranton ammunition plant to thank its workers who were producing munitions for Ukraine. A video of his visit shows Zelenskyy touring the site and thanking workers.
Although Shapiro served as a Harris campaign surrogate, he attended the Scranton event in his official capacity as governor. Harris did not attend the Scranton event. Zelenskyy met with Harris and Trump separately later the same week.
Zelenskyy’s visit to the Scranton plant was not covert, and experts said it doesn’t meet any definition of foreign election interference.
We rate this statement False.",Yes,No,No,No
39,Politifact,https://www.politifact.com/factchecks/2025/mar/14/alex-jones/infowars-reporter-jamie-white-who-was-fatally-shot/,"Deceased InfoWars reporter Jamie White was on a “Ukrainian enemies hit list.”
",2025-03-11,2025-03-14,"""Ukraine""",FALSE,,"Jones pointed to a June 12, 2024, X post from White that read, ""I’m on the Ukrainian ‘Enemies List’ due to my work at @infowars and with @RealAlexJones on the Ukraine proxy war.""",Deceased InfoWars reporter Jamie White was on a “Ukrainian enemies hit list.”,"After InfoWars reporter Jamie White was fatally shot March 10 in Austin, Texas, police said they believe the suspects were burglarizing White’s car when White interrupted them.
White is not on a Ukrainian enemies list. In June 2024, Texty.org.ua, an independent Ukrainian media outlet, shared online a list of research subjects as part of its analysis of rhetoric opposing Ukrainian aid. White was among the people whose statements were analyzed.
Texty did not refer to White as an ""enemy"" of Ukraine, nor did the outlet call for him to be harmed or killed.",Yes,No,No,No
40,Politifact,https://www.politifact.com/factchecks/2025/feb/24/threads-posts/elon-musk-didnt-post-that-he-would-suspend-volodym/,Elon Musk posted on X he is planning to suspend Ukraine President Volodymyr Zelenskyy’s X account.,2025-02-19,2025-02-24,"""Ukraine""",FALSE,,"""We are looking into suspending Ukraine Propagandist Zelenskyy’s account,"" a Feb. 19 Threads screenshot of a social media post sharing an X post that appeared to be from Musk’s X account said.",Elon Musk posted on X he is planning to suspend Ukraine President Volodymyr Zelenskyy’s X account.,"The post is not on Elon Musk’s X account.
A search for news reports about Musk saying he would ban Volodymyr Zelenskyy from X yielded no results.
The spelling of Zelenskyy’s name in the screenshot is not the same spelling Musk uses on X when criticizing Zelenskyy.",Yes,No,No,No
41,Politifact,https://www.politifact.com/factchecks/2025/feb/19/donald-trump/did-ukraine-start-its-war-with-russia-as-president/,Volodymyr Zelenskyy “started” the war in Ukraine with Russia.,2025-02-18,2025-02-19,"""Ukraine""",FALSE,,"""I think I have the power to end this war, and I think it's going very well,"" Trump said while answering reporters’ questions Feb. 18 at his Mar-a-Lago resort. ""But today I heard (from Ukraine), ‘Oh well, we weren't invited.’ Well, you've been there for three years. You should have ended it three years — you should have never started it, you could have made a deal.""",Volodymyr Zelenskyy “started” the war in Ukraine with Russia.,"Media outlets worldwide covered Russia’s February 2022 invasion of Ukraine and Russian President Vladimir Putin acknowledged it as a ""special military operation,"" saying the offensive would ""seek to demilitarize and denazify Ukraine.""
For years, Russia has sought to blame Ukrainian actions for its invasion. ",Yes,No,No,No
42,Politifact,https://www.politifact.com/factchecks/2025/feb/05/facebook-posts/zelenskyys-statement-about-ukraine-aid-didnt-revea/,Ukrainian President Volodymyr Zelenskyy “just threw the whole Ukraine money laundering operation under the bus … by stating he’s received less than half of the over $177 billion in aid sent by the United States.”,2025-02-02,2025-02-05,"""Ukraine""",FALSE,,"""(Zelenskyy) just threw the whole Ukraine money laundering operation under the bus … by stating he’s received less than half of the over $177 billion in aid sent by the United States,"" one Facebook post said.",Ukrainian President Volodymyr Zelenskyy “just threw the whole Ukraine money laundering operation under the bus … by stating he’s received less than half of the over $177 billion in aid sent by the United States.”,"Ukrainian President Volodymyr Zelenskyy said his country’s military has received only a portion of the more than $175 billion in U.S. aid earmarked for Ukraine’s war against Russia. Now, critics of that U.S. support are floating an unsupported claim: that the funding has been misused through corruption or money laundering.
Much of the money the U.S. has dedicated for Ukraine aid is spent in the U.S. on domestic weapons manufacturers and U.S. military and government operations.
Direct military support to Ukraine totaled about $70 billion out of the $175 billion Congress has appropriated. 
The money isn’t being laundered, it’s being spent as Congress intended. ",Yes,No,No,No
43,Politifact,https://www.politifact.com/factchecks/2024/nov/26/instagram-posts/theres-no-evidence-half-of-all-ukrainian-aid-was-l/,"""Half of all Ukrainian aid was laundered and sent back to Democrat candidates for re-election.""",2024-11-25,2024-11-26,"""Ukraine""",FALSE,,"In an Instagram video, conservative pundit Jeremy Herrell said a former Polish minister said ""nearly half of all the money that we sent to Ukraine was siphoned off and sent back to the Democrat Party and their candidates."" ","""Half of all Ukrainian aid was laundered and sent back to Democrat candidates for re-election.""","There's no evidence half of all Ukrainian aid was laundered to fund Democratic political campaigns.
There’s no evidence that half of the U.S. aid to Ukraine was diverted to fund Democratic political campaigns. 
The U.S. government oversees equipment and money sent to Ukraine and it has said there’s no evidence of illicit diversion of aid.",Yes,No,No,No
44,Politifact,https://www.politifact.com/factchecks/2024/sep/30/social-media/no-link-between-ukraine-and-helene-aid-and-joe-bid/,“Biden Announces: ‘2.4 billion more to Ukraine’ but ‘no more aid for Hurricane Helene.’”,2024-09-30,2024-09-30,"""Ukraine""",FALSE,,"""Biden announces ‘$2.4 billion more to Ukraine"" but ""No more aid for Hurricane Helene,"" a Sept. 30 Facebook post said.",“Biden Announces: ‘2.4 billion more to Ukraine’ but ‘no more aid for Hurricane Helene.’”,"No link between Ukraine and Helene aid, and Joe Biden didn’t rule out future hurricane aid
In Sept. 29 remarks to reporters, President Joe Biden did not say no more aid would be provided for areas affected by Hurricane Helene. He also did not tie hurricane funding to Ukraine war funding; a Ukraine aid package Biden announced days earlier came from money Congress already appropriated.
Biden said all available resources were in place before the storm made landfall. A fact sheet detailed numerous steps the White House had taken, including issuing disaster and emergency declarations for affected states.
In a Sept. 30 White House address, Biden said he expects to ask Congress for a supplemental spending bill for hurricane aid.",Yes,No,No,No
45,Politifact,https://www.politifact.com/factchecks/2024/sep/20/facebook-posts/colin-kaepernick-isnt-russia-bound-this-claim-orig/,Colin Kaepernick said he “will go to Russia if not properly respected in the United States.”,2024-09-13,2024-09-20,"""Russia""",FALSE,,"""Colin Kaepernick: ‘Will go to Russia if not respected properly in the United States,’"" a Sept. 13 post said. ",Colin Kaepernick said he “will go to Russia if not properly respected in the United States.”,Colin Kaepernick isn’t Russia-bound; this claim originated on a self-described satire site.,Yes,No,No,No